Mean Error @ 0	StdDev @ 0	Mean Error @ 10	StdDev @ 10	Condition	Model
0.34	0.11889948696272831	0.45999999999999996	0.042941448508405006	No prior	gpt-4o-boxloop
57.33295540351129	24.101551558675983	44.4012423019278	22.954345710968326	No prior	gpt-4o-boxloop
51.18	9.120619445629778	107.46000000000001	56.1435860640198	No prior	gpt-4o-boxloop
0.56	0.11889948696272827	0.5599999999999999	0.07012309177439338	No prior	gpt-4o-boxloop
1.3682755976351906	0.9558764313602779	0.0917415282043196	0.03825483049539551	No prior	gpt-4o-boxloop
0.6199999999999999	0.06559414608027152	0.58	0.0655941460802715	No prior	gpt-4o-boxloop
189.84366383104071	18.933301801847538	150.8590680114434	49.18828120119211	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
0.33999999999999997	0.1188994869627283	0.58	0.0655941460802715	Prior	gpt-4o-boxloop
50.26500531736088	21.939722203727563	67.63565567496718	60.730612600626564	Prior	gpt-4o-boxloop
941.64	318.621562416306	27.639999999999997	8.795592539903152	Prior	gpt-4o-boxloop
0.72	0.17877950665554485	0.44000000000000006	0.07012309177439338	Prior	gpt-4o-boxloop
3.328231949097771	1.148530424693807	0.13375158913476126	0.14515135036616655	Prior	gpt-4o-boxloop
0.36	0.18049035431291058	0.5399999999999999	0.10518463766159007	Prior	gpt-4o-boxloop
230.27589415828015	21.623918310023605	106.42591417386696	14.71814603768667	Prior	gpt-4o-boxloop
0.56	0.16257370021008932	0.52	0.10222109371357749	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
